student_id,certificates_issued,minutes_watched
229699,3,1165.95
230140,2,1217.80
232131,2,1190.17
233619,6,9141.60
233988,1,289.40
234155,1,225.53
234596,1,773.77
235274,3,1036.50
235735,1,534.15
235996,1,370.53
236361,1,456.70
236628,2,1713.80
236797,1,628.10
238800,1,366.67
238848,7,13474.53
238879,1,52.37
238987,4,2282.27
240294,1,120.63
241632,3,2933.00
242454,6,5051.20
243847,1,528.17
244031,1,369.02
244886,3,1670.15
246267,12,44540.00
247618,1,581.00
248036,2,709.50
248305,1,558.08
248414,3,1281.10
250629,2,152.33
251774,1,504.37
252008,3,2781.55
252339,4,9043.27
252678,5,7911.17
253264,1,898.42
253574,1,1176.13
253682,1,493.32
253823,4,4358.40
253827,2,1937.70
254098,1,30.75
254310,7,9224.95
254378,1,274.42
254431,6,8560.00
254466,1,130.58
254553,2,2297.93
254558,2,1515.07
254601,3,1159.65
254713,8,14684.27
254759,1,336.60
254813,2,1203.30
254858,1,257.50
254860,1,289.70
254868,1,97.12
254914,4,4080.40
254929,1,833.83
254931,1,239.85
254953,2,1499.60
254972,1,173.57
255058,2,1463.47
255169,3,1101.75
255186,3,1213.60
255187,1,53.33
255220,2,2193.27
255271,1,222.08
255275,3,2170.65
255282,2,1315.60
255296,1,589.55
255449,1,138.53
255668,4,2934.53
255827,6,6326.10
256432,1,549.55
256448,5,10369.33
256670,6,9173.10
256703,8,15315.33
256834,1,130.00
256954,2,568.90
256969,1,454.68
257112,2,531.20
257130,1,137.18
257151,1,916.03
257384,4,2520.13
257415,1,181.40
258044,1,1095.57
258141,1,351.82
258337,2,1350.90
258636,3,2063.30
259011,3,1865.95
259106,1,334.55
259174,1,281.50
259283,1,564.65
259429,4,2029.27
259483,1,75.43
259494,1,113.58
259504,6,12310.80
259767,3,5991.20
259860,5,7975.58
259884,2,2238.73
259959,2,669.80
260042,8,13602.53
260168,2,1870.53
260173,3,4134.20
260345,3,4161.45
260465,4,4912.80
260572,2,853.60
260608,1,638.90
260616,5,6265.42
260649,2,646.43
260754,5,6280.17
260833,1,118.33
260861,1,194.03
260910,2,1059.67
260980,4,3268.07
260998,15,28597.50
261019,2,1439.00
261171,4,2912.33
261189,2,810.17
261212,5,7047.17
261337,1,571.67
261393,1,412.78
261466,6,9728.20
261510,2,340.70
261590,4,3456.87
261593,1,270.42
261647,1,914.22
261682,4,6007.07
261756,6,8548.00
261777,10,27796.33
261785,3,4337.10
261801,11,25724.78
261802,1,361.07
261813,2,854.90
261819,1,37.43
261883,1,426.72
261905,4,8883.00
262112,2,3148.73
262406,3,1711.70
262412,2,1375.47
262459,1,1077.42
262569,1,395.40
262585,2,2441.97
262599,1,296.07
262641,1,542.63
263076,6,7892.50
263293,3,2986.50
263368,1,387.03
263456,1,262.45
263480,2,456.40
263494,1,798.05
263579,1,346.18
263690,4,4120.27
263706,1,148.88
264049,1,368.17
264146,7,12663.70
264253,1,337.07
264295,3,7128.45
264404,1,518.60
264425,2,1671.53
264472,1,195.53
264476,3,4191.55
264514,1,763.43
264623,1,220.98
264687,1,82.53
264761,1,127.97
264916,4,3117.73
264954,1,681.85
265003,3,3347.70
265005,1,525.83
265092,6,8880.90
265101,3,1274.50
265130,1,118.85
265176,1,57.82
265250,3,3640.90
265519,2,940.77
265588,4,5863.00
265653,1,181.82
265686,1,132.82
265789,1,251.82
265808,1,486.98
265878,3,1908.25
265928,7,11595.62
265966,2,1707.77
265967,5,6857.25
265970,1,163.22
266001,3,5249.85
266012,1,1258.25
266041,1,168.17
266112,5,26558.08
266332,3,2117.40
266477,2,139.70
266529,4,4719.20
266614,4,3277.33
266693,2,946.53
266758,2,2128.83
266766,2,2466.27
266788,5,6440.00
266811,1,154.07
267010,3,3524.00
267026,1,429.58
267064,6,10724.10
267203,2,1031.53
267765,2,857.47
267843,2,113.77
267854,2,543.50
267885,1,443.63
267898,6,8277.80
267916,10,23266.67
267936,1,2542.98
267949,1,110.65
267959,1,809.78
268011,7,17813.37
268129,3,1779.00
268154,1,310.57
268331,1,2237.55
268357,3,4217.95
268390,13,26121.98
268408,1,240.90
268510,1,167.53
268516,1,1269.25
268553,1,78.13
268556,3,2725.95
268714,3,1683.25
268764,6,11646.60
268796,9,16600.80
268800,3,2261.70
268805,1,1880.25
268825,1,1609.35
268863,2,1034.80
268866,2,883.57
268926,11,22771.65
268962,1,569.23
268978,4,12008.93
268989,4,5920.33
268990,2,3103.17
269000,1,634.92
269020,1,125.78
269047,1,349.65
269054,2,1556.67
269066,4,7330.33
269070,1,573.37
269220,1,237.98
269314,4,6702.60
269492,1,588.65
269518,9,14965.35
269519,2,1043.70
269540,1,374.35
269541,5,7520.58
269570,2,1139.60
269646,1,1220.07
269670,1,218.13
269671,2,930.70
269744,1,907.43
269843,1,513.47
269872,4,2804.13
269898,1,471.55
269934,4,3516.47
270022,4,2194.27
270042,1,1368.35
270075,7,18116.00
270135,1,249.33
270179,2,1072.27
270240,2,1389.37
270247,1,512.52
270363,1,255.42
270367,1,341.50
270393,2,1400.40
270460,1,936.02
270599,10,26196.17
270619,2,688.70
270633,2,1384.20
270671,2,838.73
270700,1,611.55
270738,1,1342.07
270824,1,215.27
270833,2,1012.97
270911,1,138.30
270930,1,397.17
270957,2,2641.90
271015,2,4088.03
271035,3,4598.65
271140,2,1405.63
271154,6,15060.10
271185,1,1506.78
271300,1,829.83
271338,1,492.02
271348,3,2672.45
271519,3,4713.65
271543,2,1902.30
271664,1,536.60
271800,2,4022.13
271837,1,236.60
271872,1,391.67
271991,3,3237.15
272001,2,2597.23
272035,1,2081.60
272157,1,379.13
272199,1,728.87
272255,2,1427.90
272261,1,485.12
272437,2,1579.90
272463,1,364.70
272504,1,335.05
272510,1,357.87
272543,1,172.00
272569,1,187.83
272570,1,325.38
272596,2,2084.27
272696,1,202.80
272717,4,9666.20
272838,1,201.48
272842,1,6163.18
272865,2,1692.13
272882,1,327.03
272909,8,32895.47
272918,1,347.35
272965,8,18740.40
273060,1,974.52
273249,1,395.93
273371,2,337.07
273423,18,96026.10
273654,1,333.50
273803,1,297.75
273841,1,1047.52
